연도,시간,위도,경도,진앙,규모,place
2013-07-26,오후 9:32:59,-57.9145,-23.841,13,6.2,"199km NE of Bristol Island, South Sandwich Islands"
2013-07-26,오전 7:07:15,-15.3792,167.6889,124,6.1,"58km ENE of Luganville, Vanuatu"
2013-07-22,오전 7:01:42,-46.0417,34.8255,10,6.1,"244km WNW of Marion Island, Prince Edward Islands"
2013-07-21,오전 5:09:31,-41.7134,174.4431,14,6.5,"46km ESE of Blenheim, New Zealand"
2013-07-17,오전 2:37:42,-15.6346,-71.7729,6.59,6,"18km W of Chivay, Peru"
2013-07-16,오전 9:35:54,-6.3085,154.7822,44.25,6,"77km W of Panguna, Papua New Guinea"
2013-07-15,오후 2:03:43,-60.8679,-25.1436,30.98,7.3,"218km SSE of Bristol Island, South Sandwich Islands"
2013-07-07,오후 8:30:07,-6.0155,149.7215,62.03,6.6,"29km NE of Kandrian, Papua New Guinea"
2013-07-07,오후 6:35:30,-3.9234,153.9204,386.25,7.3,"115km ENE of Taron, Papua New Guinea"
2013-07-06,오전 5:05:06,-3.249,100.5668,19.7,6,"157km SW of Sungaipenuh, Indonesia"
2013-07-04,오후 5:16:00,-7.039,155.6438,72,6.1,"81km SSE of Panguna, Papua New Guinea"
2013-07-02,오전 7:37:02,4.698,96.687,10,6.1,"55km S of Bireun, Indonesia"
2013-06-24,오후 10:04:13,10.701,-42.594,10,6.6,Northern Mid-Atlantic Ridge
2013-06-16,오후 9:39:04,34.27,25.114,26,6,"81km S of Pirgos, Greece"
2013-06-15,오후 5:34:29,11.7246,-86.9754,35.81,6.5,"46km W of Masachapa, Nicaragua"
2013-06-15,오후 4:11:00,34.4488,25.0435,10,6.2,"61km S of Pirgos, Greece"
2013-06-15,오전 11:20:36,-33.853,179.402,195,6,South of the Kermadec Islands
2013-06-13,오후 4:47:23,-9.998,107.243,8.6,6.7,"177km ENE of Flying Fish Cove, Christmas Island"
2013-06-05,오전 4:47:26,-11.401,166.299,39,6.1,"91km SSE of Lata, Solomon Islands"
2013-06-02,오전 5:43:03,23.794,121.133,17,6.2,"25km SE of Buli, Taiwan"
2013-05-24,오후 2:56:31,52.222,151.515,623,6.7,Sea of Okhotsk
2013-05-24,오전 5:44:49,54.874,153.281,608.9,8.3,Sea of Okhotsk
2013-05-23,오후 9:07:46,-20.561,-175.765,149.1,6.3,"86km NW of Nuku`alofa, Tonga"
2013-05-23,오후 5:19:04,-23.025,-177.109,171.4,7.4,"282km SW of Vaini, Tonga"
2013-05-21,오전 5:43:21,52.307,159.986,36.7,6.1,"122km SE of Petropavlovsk-Kamchatskiy, Russia"
2013-05-21,오전 1:55:05,52.469,160.486,15.1,6,"139km ESE of Petropavlovsk-Kamchatskiy, Russia"
2013-05-20,오전 9:49:04,-44.866,-80.746,10,6.4,"Off the coast of Aisen, Chile"
2013-05-18,오전 5:47:59,37.739,141.471,39,6,"50km NE of Namie, Japan"
2013-05-14,오전 12:32:25,18.728,145.287,602.3,6.8,"40km W of Agrihan, Northern Mariana Islands"
2013-05-11,오후 8:46:57,-17.954,-175.099,212.2,6.4,"140km WNW of Neiafu, Tonga"
2013-05-11,오전 2:08:08,26.56,57.77,15,6.1,"94km SE of Minab, Iran"
2013-05-07,오전 10:10:55,-19.638,175.064,70.1,6,"239km NNE of Ceva-i-Ra, Fiji"
2013-04-26,오전 6:53:28,-28.7357,-178.9155,349.02,6.2,"115km WNW of Raoul Island, New Zealand"
2013-04-26,오전 6:53:28,-28.681,-178.916,351,6.1,"118km WNW of Raoul Island, New Zealand"
2013-04-23,오후 11:14:42,-3.913,152.12,23.3,6.5,"31km N of Rabaul, Papua New Guinea"
2013-04-22,오전 1:16:33,18.127,-101.908,30,6,"20km NNW of La Union, Mexico"
2013-04-21,오전 3:22:16,29.933,138.887,421.9,6.1,"Izu Islands, Japan region"
2013-04-20,오후 1:12:50,50.105,157.165,18,6.1,"97km SE of Severo-Kuril'sk, Russia"
2013-04-20,오전 12:02:47,30.308,102.888,14,6.6,"56km WSW of Linqiong, China"
2013-04-19,오후 7:58:41,49.958,157.663,20,6.1,"135km SE of Severo-Kuril'sk, Russia"
2013-04-19,오전 3:05:52,46.224,150.783,112.2,7.2,"251km ENE of Kuril'sk, Russia"
2013-04-16,오후 10:55:27,-3.218,142.543,13,6.6,"23km ESE of Aitape, Papua New Guinea"
2013-04-16,오전 10:44:20,28.107,62.053,82,7.7,"83km E of Khash, Iran"
2013-04-14,오전 1:32:22,-6.475,154.607,31,6.6,"98km W of Panguna, Papua New Guinea"
2013-04-13,오후 10:49:50,-19.141,169.535,280.2,6,"53km NNE of Isangel, Vanuatu"
2013-04-09,오전 11:52:50,28.5,51.591,10,6.4,"89km SE of Bandar Bushehr, Iran"
2013-04-06,오전 4:42:35,-3.513,138.477,66,7,"240km E of Enarotali, Indonesia"
2013-04-05,오후 1:00:02,42.713,131.105,561.9,6.3,"9km N of Zarubino, Russia"
2013-04-01,오후 6:53:18,39.516,143.2076,20.89,6,"108km E of Miyako, Japan"
2013-03-25,오후 11:02:13,14.596,-90.439,189,6.2,"6km ENE of Santa Catarina Pinula, Guatemala"
2013-03-24,오전 8:13:45,-20.757,173.37,10,6.1,"167km NW of Ceva-i-Ra, Fiji"
2013-03-10,오후 10:51:51,-6.653,148.155,28.9,6.5,"32km E of Finschhafen, Papua New Guinea"
2013-03-01,오후 1:20:50,50.949,157.448,29,6.5,"89km SE of Ozernovskiy, Russia"
2013-03-01,오후 12:53:52,50.938,157.511,40.9,6.4,"93km SE of Ozernovskiy, Russia"
2013-02-28,오후 2:05:50,50.942,157.339,41,6.9,"84km SE of Ozernovskiy, Russia"
2013-02-22,오후 12:01:59,-27.993,-63.195,585.8,6.1,"23km ESE of Suncho Corral, Argentina"
2013-02-16,오전 4:37:36,5.812,125.748,105,6.1,"16km SE of Caburan, Philippines"
2013-02-14,오후 1:13:52,67.582,142.564,9.9,6.6,"135km WSW of Druzhina, Russia"
2013-02-10,오후 6:39:32,-10.959,165.459,11,6,"48km WSW of Lata, Solomon Islands"
2013-02-09,오후 9:02:22,-10.952,165.838,15.6,6.6,"25km S of Lata, Solomon Islands"
2013-02-09,오후 2:16:07,1.142,-77.4,145,6.9,"2km N of Yacuanquer, Colombia"
2013-02-08,오후 3:26:38,-10.932,166.021,21,7.1,"31km SE of Lata, Solomon Islands"
2013-02-08,오전 11:12:13,-10.905,165.886,15.9,6.8,"21km SSE of Lata, Solomon Islands"
2013-02-07,오후 6:59:16,-11.001,165.658,10,6.7,"36km SSW of Lata, Solomon Islands"
2013-02-07,오전 12:30:10,-11.658,164.94,8,6,"142km SW of Lata, Solomon Islands"
2013-02-06,오전 11:53:55,-11.245,165.727,14,6,"59km S of Lata, Solomon Islands"
2013-02-06,오전 10:33:17,-10.643,164.764,10,6,"117km W of Lata, Solomon Islands"
2013-02-06,오전 6:35:19,-10.784,164.512,10.1,6.1,"144km W of Lata, Solomon Islands"
2013-02-06,오전 1:54:15,-10.479,165.772,9.8,7,"27km NNW of Lata, Solomon Islands"
2013-02-06,오전 1:23:19,-11.2541,164.9323,10.14,7.1,"114km WSW of Lata, Solomon Islands"
2013-02-06,오전 1:12:27,-10.738,165.138,28.7,8,"76km W of Lata, Solomon Islands"
2013-02-06,오전 12:07:22,-10.865,165.248,12.6,6,"66km WSW of Lata, Solomon Islands"
2013-02-02,오후 6:58:05,-10.938,165.255,3.2,6,"67km WSW of Lata, Solomon Islands"
2013-02-02,오후 2:17:35,42.758,143.106,107,6.9,"19km SSW of Obihiro, Japan"
2013-02-01,오후 10:18:33,-11.12,165.378,10,6.4,"66km SW of Lata, Solomon Islands"
2013-02-01,오후 10:16:34,-10.896,165.379,10,6.3,"53km WSW of Lata, Solomon Islands"
2013-02-01,오전 5:36:41,-11.104,165.532,15,6,"53km SW of Lata, Solomon Islands"
2013-01-31,오전 3:33:43,-10.628,166.382,9.2,6.1,"60km E of Lata, Solomon Islands"
2013-01-30,오후 11:03:43,-10.635,166.371,11,6.1,"59km E of Lata, Solomon Islands"
2013-01-30,오후 8:15:43,-28.08,-70.621,45,6.8,"56km NNE of Vallenar, Chile"
2013-01-28,오후 4:38:53,42.605,79.708,15,6.1,"60km SE of Kegen, Kazakhstan"
2013-01-21,오후 10:22:52,4.966,95.856,11.6,6.1,"47km SSW of Sigli, Indonesia"
2013-01-15,오후 4:09:37,-62.571,-161.432,10,6.1,Pacific-Antarctic Ridge
2013-01-05,오전 8:58:19,55.394,-134.65,10,7.5,Southeastern Alaska
2012-12-21,오후 10:28:08,-14.344,167.286,200.7,6.7,Vanuatu
2012-12-17,오전 9:16:30,-0.649,123.807,44.2,6.1,"Sulawesi, Indonesia"
2012-12-15,오후 7:30:02,-4.632,153.016,52,6.1,"New Ireland region, Papua New Guinea"
2012-12-15,오전 4:49:29,52.291,174.011,26,6,"Near Islands, Aleutian Islands, Alaska"
2012-12-14,오전 10:36:01,31.095,-119.66,13,6.3,off the west coast of Baja California
2012-12-11,오전 6:18:27,0.533,126.231,30,6,Molucca Sea
2012-12-10,오후 4:53:08,-6.533,129.825,155,7.1,Banda Sea
2012-12-07,오후 6:19:06,-38.471,176.099,163,6.3,North Island of New Zealand
2012-12-07,오전 8:31:14,37.914,143.764,32,6.2,"off the east coast of Honshu, Japan"
2012-12-07,오전 8:18:23,37.89,143.949,31,7.3,"off the east coast of Honshu, Japan"
2012-12-02,오전 12:54:22,-16.975,167.645,32,6.1,Vanuatu
2012-11-19,오전 9:44:34,-5.705,151.602,13,6,"New Britain region, Papua New Guinea"
2012-11-16,오후 6:12:39,49.28,155.425,29,6.5,Kuril Islands
2012-11-15,오전 9:20:21,18.346,-100.382,53,6.1,"Guerrero, Mexico"
2012-11-14,오후 7:02:06,-29.118,-71.19,63,6.1,"Coquimbo, Chile"
2012-11-13,오전 4:31:26,-45.761,-77.053,9,6.1,"off the coast of Aisen, Chile"
2012-11-12,오후 8:42:14,57.792,-142.855,9,6.3,Gulf of Alaska
2012-11-11,오후 10:14:59,14.129,-92.164,20,6.5,offshore Guatemala
2012-11-11,오전 1:12:38,23.005,95.885,13.7,6.8,Myanmar
2012-11-10,오후 2:57:50,-8.866,-75.071,129,6,central Peru
2012-11-08,오전 2:01:50,49.231,-128.477,13.7,6.1,"Vancouver Island, Canada region"
2012-11-07,오후 4:35:46,13.963,-91.854,24,7.4,offshore Guatemala
2012-11-02,오후 6:17:32,9.212,126.158,37,6.1,"Mindanao, Philippines"
2012-10-30,오전 2:49:02,52.365,-131.902,9,6.2,"Haida Gwaii, Canada"
2012-10-28,오후 6:54:20,52.674,-132.602,9,6.3,"Haida Gwaii, Canada"
2012-10-28,오전 3:04:08,52.788,-132.101,14,7.8,"Haida Gwaii, Canada"
2012-10-24,오전 12:45:32,10.086,-85.298,17,6.5,Costa Rica
2012-10-20,오후 11:00:32,-13.552,166.564,36,6.2,Vanuatu
2012-10-17,오전 4:42:30,4.232,124.52,326,6,Celebes Sea
2012-10-12,오전 12:31:28,-4.892,134.03,13,6.6,"near the south coast of Papua, Indonesia"
2012-10-09,오후 12:32:09,-60.326,153.699,10,6.6,west of Macquarie Island
2012-10-08,오전 11:43:31,-4.472,129.129,10,6.1,Banda Sea
2012-10-01,오후 10:21:46,39.808,143.099,15,6.1,"off the east coast of Honshu, Japan"
2012-09-30,오후 4:31:35,1.929,-76.362,170,7.3,Colombia
2012-09-26,오후 11:39:55,51.592,-178.295,16,6.4,"Andreanof Islands, Aleutian Islands, Alaska"
2012-09-25,오후 11:45:24,24.666,-110.173,10,6.3,"Baja California Sur, Mexico"
2012-09-14,오전 4:51:47,-3.319,100.594,19,6.2,"Kepulauan Mentawai region, Indonesia"
2012-09-08,오전 10:51:44,-3.177,135.109,21,6.1,"Papua, Indonesia"
2012-09-05,오후 2:42:07,10.085,-85.315,35,7.6,Costa Rica
2012-09-05,오후 1:09:10,-12.476,166.513,27,6,Santa Cruz Islands
2012-09-03,오후 6:23:05,-10.708,113.931,14,6.1,"south of Java, Indonesia"
2012-08-31,오후 12:47:33,10.811,126.638,28,7.6,Philippine Islands region
2012-08-30,오후 1:43:25,71.441,-10.605,14,6.8,Jan Mayen Island region
2012-08-27,오전 4:37:19,12.139,-88.59,28,7.3,off the coast of El Salvador
2012-08-26,오후 3:05:37,2.19,126.837,91.1,6.6,Molucca Sea
2012-08-19,오후 10:41:49,-4.766,144.57,73,6.2,"near the north coast of New Guinea, Papua New Guinea"
2012-08-18,오전 9:41:52,-1.315,120.096,10,6.3,"Sulawesi, Indonesia"
2012-08-14,오전 2:59:38,49.8,145.064,583.2,7.7,Sea of Okhotsk
2012-08-12,오전 10:47:06,35.661,82.518,13,6.2,Xinjiang-Xizang border region
2012-08-11,오후 12:34:35,38.389,46.745,12,6.2,northwestern Iran
2012-08-11,오후 12:23:18,38.329,46.826,11,6.4,northwestern Iran
2012-08-10,오후 6:37:43,52.633,-167.421,13,6.2,"Fox Islands, Aleutian Islands, Alaska"
2012-08-02,오전 9:56:41,-4.654,153.275,46,6.1,"New Ireland region, Papua New Guinea"
2012-08-02,오전 9:38:30,-8.414,-74.259,144.6,6.1,central Peru
2012-07-28,오후 8:03:56,-4.651,153.173,41,6.5,"New Ireland region, Papua New Guinea"
2012-07-26,오전 5:33:33,-17.592,66.391,20,6.7,Mauritius - Reunion region
2012-07-25,오전 11:20:27,-9.694,159.727,20,6.4,Solomon Islands
2012-07-25,오전 12:27:45,2.707,96.045,22,6.4,"Simeulue, Indonesia"
2012-07-20,오전 6:10:25,49.407,155.907,19,6,Kuril Islands
2012-07-08,오전 11:33:02,45.497,151.288,20,6,Kuril Islands
2012-07-06,오전 2:28:22,-14.657,167.34,160.1,6.3,Vanuatu
2012-07-03,오전 10:36:15,-40.023,173.756,229.8,6.3,"Cook Strait, New Zealand"
2012-06-29,오후 9:07:33,43.433,84.7,18,6.3,"northern Xinjiang, China"
2012-06-24,오전 3:15:01,57.601,163.195,10,6,"near the east coast of the Kamchatka Peninsula, Russia"
2012-06-23,오전 4:34:53,3.009,97.896,95,6.1,"northern Sumatra, Indonesia"
2012-06-19,오후 3:56:32,53.351,171.619,14,6,"Near Islands, Aleutian Islands, Alaska"
2012-06-17,오후 8:32:20,38.919,141.831,36,6.3,"near the east coast of Honshu, Japan"
2012-06-10,오후 12:44:16,36.42,28.88,35,6,"Dodecanese Islands, Greece"
2012-06-07,오후 4:03:18,-15.877,-72.413,110,6.1,southern Peru
2012-06-07,오전 4:05:04,-36.074,-70.57,8,6,"Maule, Chile"
2012-06-05,오후 7:31:33,34.943,141.132,15,6.1,"off the east coast of Honshu, Japan"
2012-06-04,오전 3:15:24,5.508,-82.563,7,6.3,south of Panama
2012-06-04,오전 12:45:15,5.305,-82.629,7,6.3,south of Panama
2012-05-28,오전 5:07:23,-28.043,-63.094,586.9,6.7,"Santiago Del Estero, Argentina"
2012-05-26,오후 9:48:10,26.91,140.055,487.4,6,"Bonin Islands, Japan region"
2012-05-24,오후 10:47:46,72.96,5.683,10,6.1,Norwegian Sea
2012-05-23,오후 10:59:52,-50.42,139.516,10,6,western Indian-Antarctic Ridge
2012-05-20,오전 7:20:36,39.646,143.164,11,6.3,"off the east coast of Honshu, Japan"
2012-05-20,오전 2:03:52,44.89,11.23,6.3,6,northern Italy
2012-05-18,오전 2:00:39,-44.806,-80.159,10,6.3,"off the coast of Aisen, Chile"
2012-05-14,오전 10:00:40,-17.678,-69.591,105.9,6.2,"Tarapaca, Chile"
2012-05-01,오후 10:43:33,14.376,-92.897,14,6,"offshore Chiapas, Mexico"
2012-04-28,오전 10:08:08,-18.685,-174.705,134.7,6.6,Tonga
2012-04-23,오후 5:36:21,-28.556,-177.412,114,6,Kermadec Islands region
2012-04-21,오전 1:25:13,-1.635,134.197,17.4,6,"near the north coast of Papua, Indonesia"
2012-04-21,오전 1:16:52,-1.617,134.276,16,6.7,"near the north coast of Papua, Indonesia"
2012-04-17,오후 7:03:56,-59.016,-16.612,12,6.2,east of the South Sandwich Islands
2012-04-17,오전 7:13:49,-5.462,147.117,198,6.8,"eastern New Guinea region, Papua New Guinea"
