연도,국가코드,산림손실면적(ha),산불산림손실면적(ha)
2002,BLR,25383.559976,1371.98919
2002,BLZ,13473.061746,2526.5222644
2002,BMU,0.71795940192,0
2002,BOL,178693.5761,17022.379543
2002,BRA,3506873.016,179593.62337
2002,BRB,11.391981561,0.29978979884
2002,BRN,1088.6922457,46.46637941
2002,BTN,224.00317762,19.313211739
2002,BWA,22.788998625,0.073335150832
2002,CAF,34417.797783,349.63836706
2002,CAN,2316886.5525,1316752.631
2002,CHE,881.40921375,21.68550407
2002,CHL,78143.276352,10444.082997
2002,CHN,249183.96774,38671.421199
2002,CIV,144564.9248,354.18417771
2002,CMR,28767.180691,72.785358088
2002,COD,514458.73672,4150.7390927
2002,COG,24310.219069,315.13946606
2002,COL,182233.12797,8263.5655502
2002,COM,41.203934234,1.3555350334
2002,CPV,45.668006195,5.5050506965
2002,CRI,13300.299013,400.34902321
2002,CUB,15035.919337,5908.6621994
2002,CUW,1.2792836884,0.15051593628
2002,CYM,5.5982444171,0
2002,CYP,31.743244021,5.010473122
2002,CZE,6763.2805703,52.232414667
2002,DEU,15304.486541,261.28123847
2002,DMA,11.87470804,0.37092939296
2002,DNK,1204.489939,10.082736701
2002,DOM,10435.616145,444.74432846
2002,DZA,3009.3358462,1618.061196
2002,ECU,29846.278085,2007.0189851
2002,EGY,48.813250583,8.3360989837
2002,ERI,0,0
2002,ESP,37699.261423,8027.039781
2002,EST,21918.388767,237.09533784
2002,ETH,13074.087409,29.267107682
2002,FIN,142432.36457,1427.026502
2002,FJI,703.20993914,15.627730429
2002,FRA,33888.397172,1917.3735921
2002,GAB,13851.769741,167.86610373
2002,GBR,20106.364762,2164.2280866
2002,GEO,536.44219803,53.115750941
2002,GGY,0.10069523499,0
2002,GHA,78392.858932,173.13423688
2002,GIB,0.24965882069,0.12482921491
2002,GIN,28933.47429,69.484975277
2002,GLP,50.885418958,0.73938440135
2002,GMB,40.15764074,0
2002,GNB,6073.872731,7.9191338796
2002,GNQ,2986.2643741,7.61067024
2002,GRC,5126.5246536,843.20891873
2002,GRD,65.837746863,0.52671018777
2002,GTM,55609.145088,7295.8081116
2002,GUF,2496.7037489,149.4990722
2002,GUY,4827.3186689,245.87996706
2002,HND,31527.790069,2567.266843
2002,HRV,2340.1794922,394.37908821
2002,HTI,2120.3805048,65.20124113
2002,HUN,7708.347571,116.48764414
2002,IDN,855270.48867,83504.296013
2002,IMN,27.329719598,4.813900001
2002,IND,47839.022977,830.89504633
2002,IRL,5299.5863293,205.91837285
2002,IRN,557.75237105,82.902215443
2002,IRQ,10.620060315,5.206038381
2002,ISR,111.7306785,3.9307045554
2002,ITA,10931.653391,872.10624718
2002,JAM,1647.5706371,67.296008963
2002,JEY,1.620747788,0.10135483967
2002,JOR,0.19610755833,0
2002,JPN,26153.796198,958.64397847
2002,KAZ,2952.3066237,648.90068271
2002,KEN,20286.987739,31.443331624
2002,KGZ,305.45747979,117.37346612
2002,KHM,54915.929196,824.14326448
2002,KNA,19.790750577,1.1769627236
2002,KOR,4705.3853059,921.70307631
2002,LAO,55886.581415,231.8360733
2002,LBN,81.200459036,3.97260689
2002,LBR,56984.576873,430.14576311
2002,LBY,40.245663534,27.843364734
2002,LCA,10.910968093,2.0179329198
2002,LKA,3427.6038566,83.193623049
2002,LSO,2.6871395636,0
2002,LTU,10344.883385,25.215459493
2002,LUX,90.506884505,1.5520861166
2002,LVA,29175.905734,127.00043686
2002,MAF,5.4188466742,0
2002,MAR,3923.5178271,927.96459027
2002,MDA,229.74432666,15.935559874
2002,MDG,89317.51427,3907.7751841
2002,MDV,4.5881549465,0
2002,MEX,158811.85199,13774.195542
2002,MKD,890.35680981,59.810525284
2002,MLI,175.29044283,0.14964142109
2002,MLT,1.7529613985,0.25009817085
2002,MMR,66119.46105,1072.4909921
2002,MNE,179.62077121,16.163631171
2002,MNG,18727.920246,13915.565861
2002,MOZ,106663.26138,463.70731735
2002,MSR,1.6227298704,0
2002,MTQ,48.86224871,0.52155095127
2002,MUS,154.42996053,0
2002,MWI,4196.6462566,7.4531638419
2002,MYS,312841.13963,5416.0625815
2002,MYT,20.869190363,0.15013634301
2002,NAM,109.54892024,1.9805523725
2002,NCL,626.86805879,93.663682373
2002,NER,0.67641644358,0
2002,NGA,32346.710064,58.630667674
2002,NIC,54178.249204,641.90572316
2002,NLD,824.63018352,26.386445198
2002,NOR,26635.753195,907.20461018
2002,NPL,2128.6433096,333.50690844
2002,NZL,63227.683282,1003.2888813
2002,PAK,311.29604853,140.03283282
2002,PAN,19206.527402,800.34417366
2002,PER,80455.865547,3957.1924867
2002,PHL,32308.666433,488.32162979
2002,PLW,75.224479159,2.2122557867
2002,PNG,54575.274128,2023.9189193
2002,POL,31070.238985,237.40530982
2002,PRI,1168.0957775,10.46444618
2002,PRK,5358.2835025,1799.2218951
2002,PRT,34902.988574,8453.2827024
2002,PRY,195118.50117,17721.369181
2002,PSE,1.8302871145,0.71924995002
2002,REU,502.66837523,0
2002,ROU,16356.498684,372.64112502
2002,RUS,2700383.9345,1998379.9401
2002,RWA,941.49241297,0.9227869304
2002,SDN,76.100355817,0.52956345251
2002,SEN,164.43055442,0
2002,SGP,123.516999,0.15381808873
2002,SLB,3866.1827927,53.490180958
2002,SLE,15310.241972,103.05551926
2002,SLV,4666.4349123,197.94614789
2002,SMR,0.11147912894,0
2002,SOM,250.89133042,1.2212407437
2002,SPM,0.21171312577,0.10563980538
2002,SRB,1134.9890885,77.777357236
2002,SSD,8148.6030415,73.455622503
2002,SUR,3717.4775624,324.33161471
2002,SVK,4014.5500297,52.511257063
2002,SVN,725.26412462,35.452797356
2002,SWE,178264.03977,1452.6431426
2002,SWZ,3800.4904207,18.211909284
2002,SXM,0.43942772265,0
2002,SYC,0.2277753342,0
2002,SYR,147.99919407,5.9925783044
2002,TCA,4.6520265175,0.14311023068
2002,TCD,1958.3235635,1.749341946
2002,TGO,2018.338536,3.2807490299
2002,THA,60879.865951,396.38213023
2002,TJK,36.33162911,6.0941073231
2002,TKM,105.17874006,43.513390216
2002,TLS,1604.5988977,94.116947152
2002,TTO,726.07700934,14.078524963
2002,TUN,243.93364823,64.401571564
2002,TUR,25722.221417,3270.2873151
2002,TWN,1004.5740217,45.578687607
2002,TZA,85080.21703,172.02629893
2002,UGA,10840.466374,4.5355786753
2002,UKR,27076.875431,1271.6136719
2002,UMI,6.5055330583,0
2002,URY,6897.8379475,212.37879931
2002,USA,2038414.5329,539360.82041
2002,UZB,265.23171881,65.048134975
2002,VCT,7.9459989489,0
2002,VEN,90339.963086,3152.827358
2002,VGB,2.9964415563,0
2002,VIR,20.902833133,0.44015092313
2002,VNM,49624.492241,554.40324775
2002,VUT,108.23964961,1.4840368185
2002,XAD,1.0144044535,0
2002,XKO,214.73483599,4.3349919106
2002,Z01,400.41461654,73.322354494
2002,Z06,13.715703882,4.9195223857
2002,Z07,4766.1199243,83.593415166
2002,ZAF,47680.209559,1995.3112695
2002,ZMB,46274.913252,142.26796377
2002,ZNC,6.6816948334,2.0167235963
2002,ZWE,8009.9912484,35.45389045
2003,ABW,0.97705760001,0.22547479266
2003,AFG,244.33625518,186.56769884
2003,AGO,52464.032796,314.35729263
2003,AIA,1.097745085,0
2003,ALA,220.73626502,5.5956249564
2003,ALB,613.533965,264.65447733
2003,AND,0.34206364213,0
2003,ARG,249106.7574,20780.859692
2003,ARM,395.81669492,68.182787616
2003,ATG,17.078022611,0.73608877752
2003,AUS,373847.15588,251901.90473
2003,AUT,14484.862448,78.383438159
2003,AZE,1039.2830012,94.81775383
2003,BDI,1325.1833183,6.0703758698
2003,BEL,1889.7775126,18.132615588
2003,BEN,3474.5580778,2.2111673108
2003,BES,16.150189673,5.212132456
2003,BFA,2.0382434838,0
2003,BGD,2159.4571583,44.088362548
2003,BGR,5198.7155577,157.60275408
2003,BHS,274.23087625,19.03619095
2003,BIH,307.81141168,56.798087168
2003,BLR,32119.52178,3534.7723746
2003,BLZ,6839.4242371,934.79278652
2003,BMU,0.13057024276,0
2003,BOL,163718.22799,10750.0816
2003,BRA,3248392.0729,175361.01393
2003,BRB,2.9978493868,0
2003,BRN,799.10006522,104.66677795
2003,BTN,543.60076729,65.324831433
2003,BWA,8.5725513438,0
2003,CAF,13726.56116,137.07858828
2003,CAN,1607282.6187,899759.96973
2003,CHE,432.012422,2.0777409035
2003,CHL,82878.562367,4372.2483535
2003,CHN,261775.6097,81811.396189
2003,CIV,86300.208853,107.0015625
2003,CMR,25344.846357,70.894282869
2003,COD,274611.87056,1528.2952505
2003,COG,18514.381186,180.63967428
2003,COL,122398.57095,8127.3202302
2003,COM,26.653313946,0
2003,CPV,17.850444829,0.29598386714
2003,CRI,8278.5017423,201.10484863
2003,CUB,6556.6839155,523.52959944
2003,CUW,0.8279577079,0
2003,CYM,6.3247976037,1.0902267429
2003,CYP,25.229167813,5.6471258294
2003,CZE,3925.4855288,11.256721267
2003,DEU,6448.0463005,39.523845167
2003,DMA,27.238702436,0.96481818941
2003,DNK,1579.7132603,21.412437044
2003,DOM,10714.074717,754.54376868
2003,DZA,3829.6385572,1498.0422597
2003,ECU,13867.497813,1116.2700815
2003,EGY,61.011878044,15.319562149
2003,ESP,23315.393731,4575.3978921
2003,EST,5632.6843318,59.851601307
2003,ETH,13936.041224,9.3677017415
2003,FIN,89696.581783,2006.0863238
2003,FJI,1572.235904,53.282092877
2003,FRA,26393.389438,3576.5194004
2003,GAB,16845.22031,155.40968289
2003,GBR,1866.5686063,178.14623676
2003,GEO,292.00268503,16.755315019
2003,GHA,24944.428751,38.999515378
2003,GIN,9229.4580086,7.6758389551
2003,GLP,76.877499339,1.5529726152
2003,GMB,10.565436646,0
2003,GNB,1021.8773643,1.5844688693
2003,GNQ,1961.3413136,2.3835017551
2003,GRC,2562.4769051,326.38333542
2003,GRD,71.346253691,0.82797878331
2003,GTM,98213.267448,8582.8989224
2003,GUF,1889.0816014,151.72080791
2003,GUY,7418.6068588,2396.7224907
2003,HND,33625.296149,1920.1534766
2003,HRV,1738.9264588,331.42880841
2003,HTI,1070.1620748,54.34069887
2003,HUN,5726.4465654,54.26921733
2003,IDN,544811.90714,109258.88518
2003,IMN,3.6345960661,0
2003,IND,43831.021801,1363.3129253
2003,IRL,2271.2776513,87.903933016
2003,IRN,326.6750206,75.589838931
2003,IRQ,19.616724948,7.4187817089
2003,ISR,30.171658193,2.2890246715
2003,ITA,3613.1457402,481.78650904
2003,JAM,1029.2740344,42.635665346
2003,JOR,0.065259603085,0.065259603085
2003,JPN,19747.240017,708.50954873
2003,KAZ,3351.8589007,1235.4756146
2003,KEN,13553.195406,42.757160629
2003,KGZ,110.78956038,62.277756816
2003,KHM,56854.59218,1488.1206213
2003,KNA,32.147384419,2.7230307576
2003,KOR,3611.8827837,112.11865274
2003,LAO,87073.091407,209.26027076
2003,LBN,83.575423393,28.462827142
2003,LBR,21604.889917,165.60249421
2003,LBY,25.26571737,11.756554624
2003,LCA,19.426686203,0.3736952955
2003,LKA,3149.4184253,49.199297979
2003,LSO,2.4846925837,0
2003,LTU,8916.0092635,27.225223597
2003,LUX,103.41997074,0.69870901711
2003,LVA,21321.415898,158.22030693
2003,MAF,3.2954364714,0.07323170019
2003,MAR,2042.5264598,571.0680264
2003,MDA,100.59934626,6.6380906758
2003,MDG,84248.032314,2742.6343094
2003,MDV,2.1427082741,0
2003,MEX,152535.49233,18560.5376
2003,MKD,895.22809426,8.5079336672
2003,MLI,34.243511473,0
2003,MMR,77224.387305,1342.571269
2003,MNE,203.68596792,86.287930245
2003,MNG,38433.934334,35626.409954
2003,MOZ,79651.493075,377.97522057
2003,MRT,1.2562662986,1.2562662986
2003,MSR,2.2860583134,0
2003,MTQ,288.54406587,13.407643283
2003,MUS,119.63026211,0
2003,MWI,7094.3695407,29.499575103
2003,MYS,184057.69094,3355.2027542
2003,MYT,30.925849432,0.15009350414
2003,NAM,210.88764829,0.2203092703
2003,NCL,883.91586076,265.06552755
2003,NER,0.22459616475,0.074728021658
2003,NGA,13380.628989,37.967096508
2003,NIC,46944.047624,868.54078427
2003,NLD,309.85426339,8.1128358628
2003,NOR,14817.39184,599.32957265
2003,NPL,2291.9374758,311.40732286
2003,NZL,44798.824848,1066.2379349
2003,PAK,591.44081139,175.06763259
2003,PAN,11285.491431,372.76736411
2003,PER,73869.26968,3973.1829513
2003,PHL,35153.834526,581.44308619
2003,PLW,17.625276648,1.2208371599
2003,PNG,31805.231991,735.57319575
2003,POL,33292.804229,188.5506529
2003,PRI,1194.0894542,10.829108989
2003,PRK,7348.2675627,1259.3819614
2003,PRT,26840.157598,9104.7719979
2003,PRY,267306.42972,16988.266515
2003,PSE,1.4387635332,0.13143250656
2003,REU,142.62759708,0
2003,ROU,9427.546338,213.17857462
2003,RUS,3030069.2299,2405139.0616
2003,RWA,1060.9275676,1.0762092698
2003,SDN,18.668241638,0.07558605041
2003,SEN,37.78890445,0.075146589518
2003,SGP,18.842758678,0
2003,SLB,2374.6786062,48.975881944
